Continent,Year,Total_Energy_Consumption
Africa,2000,3539.40639711381
Africa,2001,3670.42570916683
Africa,2002,3784.59953594105
Africa,2003,3937.83486824338
Africa,2004,4065.27478698386
Africa,2005,4290.5386388024
Africa,2006,4371.76133909008
Africa,2007,4527.21783240688
Africa,2008,4727.97605887316
Africa,2009,4727.05883513071
Africa,2010,4954.60768377289
Africa,2011,5083.86459667646
Africa,2012,5292.80193668523
Africa,2013,5464.01947782938
Africa,2014,5644.54386278204
Africa,2015,5634.30577002052
Africa,2016,5674.2719187159
Africa,2017,5853.86777588071
Africa,2018,5951.01936728008
Africa,2019,6119.82222353584
Africa,2020,5818.30606760587
Africa,2021,5934.74712110135
Antarctica,2000,0.9296739889269
Antarctica,2001,0.9551445051568
Antarctica,2002,0.9551445051568
Antarctica,2003,0.9551445051568
Antarctica,2004,0.9678796167362
Antarctica,2005,0.973740452594
Antarctica,2006,0.973693561218
Antarctica,2007,0.9864081578204
Antarctica,2008,0.0492702341187
Antarctica,2009,0.0673943370849
Antarctica,2010,0.0673896479473
Antarctica,2011,0.0673427565713
Antarctica,2012,0.0575002567489
Antarctica,2013,0.0573507904879
Antarctica,2014,0.0573463944214
Antarctica,2015,0.0582417266319
Antarctica,2016,0.0581681657858
Antarctica,2017,0.0546603977899
Antarctica,2018,0.0546603977899
Antarctica,2019,0.0546603977899
Antarctica,2020,0.0460159726243
Antarctica,2021,0.0489683708857
Asia,2000,37850.3692585986
Asia,2001,38864.2991425531
Asia,2002,40636.141753546
Asia,2003,43597.2104683421
Asia,2004,48406.0681433558
Asia,2005,52033.3039391358
Asia,2006,55436.5864694197
Asia,2007,58681.7011397039
Asia,2008,60726.9211911526
Asia,2009,63513.916283481
Asia,2010,69215.3275300389
Asia,2011,73193.0678836632
Asia,2012,76655.9240801498
Asia,2013,78591.9364022044
Asia,2014,80208.6782255498
Asia,2015,80289.2027155933
Asia,2016,82225.8843604597
Asia,2017,84513.7414982544
Asia,2018,87216.9649222803
Asia,2019,88545.8251276887
Asia,2020,87146.3200940606
Asia,2021,91487.9496837924
Europe,2000,34131.5222141884
Europe,2001,34499.7885187551
Europe,2002,34615.3765987198
Europe,2003,35346.2091570725
Europe,2004,35750.4438438129
Europe,2005,35814.4923877305
Europe,2006,36398.4672135275
Europe,2007,36235.867815812
Europe,2008,36439.0437159056
Europe,2009,33719.9631917579
Europe,2010,35714.257292127
Europe,2011,35487.5997643139
Europe,2012,35288.695669834
Europe,2013,34982.8786627169
Europe,2014,34224.2768794693
Europe,2015,34262.0929112598
Europe,2016,34469.5653312137
Europe,2017,35014.1430978804
Europe,2018,35251.0085517879
Europe,2019,34827.1455514288
Europe,2020,33055.9067969084
Europe,2021,34536.5629294515
North America,2000,34504.401070136
North America,2001,33785.5944095883
North America,2002,34303.8981584199
North America,2003,34569.9725369237
North America,2004,35332.6036418518
North America,2005,35513.9413799946
North America,2006,35470.4835493898
North America,2007,35962.4834155621
North America,2008,35334.0646376262
North America,2009,33887.1586175058
North America,2010,35114.6188558512
North America,2011,35094.1589219999
North America,2012,34410.8128830572
North America,2013,35386.3971874945
North America,2014,35743.9575335619
North America,2015,35492.6330451664
North America,2016,35521.3992268035
North America,2017,35730.3259262798
North America,2018,36801.9034029103
North America,2019,36493.6194469201
North America,2020,33716.7308786512
North America,2021,35304.3110557855
Oceania,2000,1707.52259414297
Oceania,2001,1726.38750377227
Oceania,2002,1771.88924358703
Oceania,2003,1775.92281396029
Oceania,2004,1838.87502607726
Oceania,2005,1861.39868493589
Oceania,2006,1885.28887671605
Oceania,2007,1930.54622806616
Oceania,2008,1923.62885300673
Oceania,2009,1960.54634716863
Oceania,2010,1978.99628611489
Oceania,2011,2002.34777596392
Oceania,2012,2020.85461601237
Oceania,2013,2028.76452367414
Oceania,2014,2026.41471174424
Oceania,2015,2037.5822101295
Oceania,2016,2116.47466411907
Oceania,2017,2170.70399939521
Oceania,2018,2162.82795656796
Oceania,2019,2179.87427333133
Oceania,2020,2024.00857054662
Oceania,2021,2054.68958257097
South America,2000,6110.20305133565
South America,2001,6171.00992485531
South America,2002,6168.02682273636
South America,2003,6291.54377962426
South America,2004,6620.10497306562
South America,2005,6810.10504147374
South America,2006,7133.16957739164
South America,2007,7311.31073251331
South America,2008,7568.14635040925
South America,2009,7440.71145839497
South America,2010,7858.28957059331
South America,2011,8125.99788876512
South America,2012,8361.69439416327
South America,2013,8488.56667075832
South America,2014,8556.62416150846
South America,2015,8556.37068958935
South America,2016,8486.94521767754
South America,2017,8453.84243132214
South America,2018,8417.06050540354
South America,2019,8335.58392184214
South America,2020,7567.5751636568
South America,2021,7889.34676249196
Total,2000,117844.354259504
Total,2001,118718.460353196
Total,2002,121280.887257455
Total,2003,125519.648768671
Total,2004,132014.338294764
Total,2005,136324.753812525
Total,2006,140696.730719096
Total,2007,144650.113572222
Total,2008,146719.830077208
Total,2009,145249.422127776
Total,2010,154836.164608146
Total,2011,158987.104174139
Total,2012,162030.841080159
Total,2013,164942.620275468
Total,2014,166404.55272101
Total,2015,166272.245583486
Total,2016,168494.598887155
Total,2017,171736.67938941
Total,2018,175800.839366628
Total,2019,176501.925205145
Total,2020,169328.893587402
Total,2021,177207.656103565
