"Continent","Country","Total_Consumption","Total_production","Population"
"Asia","        Afghanistan",741.911177153394,562.392130700109,38928341
"Europe","        Albania",1477.09777344165,1312.70929271671,2877800
"Africa","        Algeria",18975.2344044092,69785.7556448038,45606480
"Oceania","        American Samoa",86.9584495900876,0.092856647324,45035
"Africa","        Angola",2169.82964999111,26626.3070338601,36684202
"Antarctica","        Antarctica",25.0193710776219,0.0671352622325,0
"South America","        Antigua and Barbuda",94.5652017218419,0.2034115653059,97928
"South America","        Argentina",33861.0268804146,35631.811321567,45195777
"Asia","        Armenia",1201.46053974919,369.552654876428,2963234
"South America","        Aruba",150.392469423169,4.76187784702,106537
"Oceania","        Australia",58047.6656758823,124139.817848796,25499881
"Europe","        Austria",16295.5382330013,6332.4505346812,9006400
"Asia","        Azerbaijan",5463.09765287066,14868.8455605187,10139175
"Asia","        Bahrain",5334.24625336296,6937.44238204683,1701583
"Asia","        Bangladesh",8288.14227513448,5917.52146188152,164689383
"South America","        Barbados",261.061221495589,41.9403582710308,287371
"Europe","        Belarus",9330.11996660409,741.133438549484,9449321
"Europe","        Belgium",30306.1509582788,6012.69036691674,11589616
"South America","        Belize",94.0856655998224,40.3790448453266,397621
"Africa","        Benin",486.55871838717,52.2731575446689,12123198
"North America","        Bermuda",110.002581533285,0,63867
"Asia","        Bhutan",370.723793661498,440.943822648424,771612
"South America","        Bolivia",2113.74115395093,5173.80823097804,11673029
"Europe","        Bosnia and Herzegovina",1827.9209720482,1187.51465796601,3280815
"Africa","        Botswana",592.455514190512,279.174253700987,2351625
"South America","        Brazil",102949.331247375,86404.1313067731,212559409
"South America","        British Virgin Islands",17.9555668617941,0.0475326155668,31122
"Asia","        Brunei",1324.63053412857,9302.55502655018,437479
"Europe","        Bulgaria",11674.4630432429,5129.23719265949,6948445
"Africa","        Burkina Faso",289.811178423446,9.8439229756616,20903278
"Asia","        Burma",2747.7607908195,4402.73415180397,54409800
"Africa","        Burundi",71.9697358424877,13.554125144749,11890781
"Africa","        Cabo Verde",81.4209792988235,2.5695556735457,548800
"Asia","        Cambodia",707.45090890848,81.8011180127092,16718971
"Africa","        Cameroon",1178.63973003569,3251.39953494935,28647293
"North America","        Canada",152939.052132399,208072.962671229,37742157
"South America","        Cayman Islands",74.4243871298564,0.2169447094906,68136
"Africa","        Central African Republic",55.6451571297118,12.7681266249572,4829764
"Africa","        Chad",87.7150604053269,1552.30084901885,18278568
"South America","        Chile",11904.9850510101,4069.5637949041,19116209
"Asia","        China",865532.811389064,768033.701847663,1439323774
"South America","        Colombia",14747.5936734074,37309.3160965696,50882884
"Africa","        Comoros",21.5653640443059,0.303645105288,869595
"South America","        Costa Rica",1686.48608363925,790.884119655183,5094114
"Africa","        Côte d’Ivoire",1458.53428099113,1298.45281681939,28873034
"Europe","        Croatia",3224.66650358918,1519.39175335343,4105268
"South America","        Cuba",5144.22037351779,1346.38201561257,11326616
"Europe","        Cyprus",1130.85217572893,13.3109373836089,875899
"Europe","        Czechia",14728.6233950463,10630.1791459803,10708982
"Europe","        Denmark",9834.62570531364,8163.50536406536,5792203
"Africa","        Djibouti",187.730693818586,0.01924029355766,988002
"South America","        Dominica",21.7268476857614,2.8212750274779,71991
"South America","        Dominican Republic",2816.27640503787,159.411219065102,10847904
"South America","        Ecuador",5262.46975307104,12051.0469775975,17643060
"Africa","        Egypt",29272.0384305734,35606.2820738886,112716598
"South America","        El Salvador",1172.44051780269,325.693334742021,6486201
"Africa","        Equatorial Guinea",563.437219018927,4554.40368030381,1714671
"Africa","        Eritrea",85.0825492495769,0.3424081543295,3546427
"Europe","        Estonia",808.022462150693,62.346659231871,1326539
"Africa","        Eswatini",206.107088506577,98.9490102300133,1160164
"Africa","        Ethiopia",1467.21931086456,492.226265062387,126527060
"Oceania","        Fiji",271.865121425775,53.2544706614158,896444
"Europe","        Finland",14361.7010594468,5192.16108472992,5540718
"Europe","        France",123684.099175467,56875.9427121885,65273512
"South America","        French Guiana",104.513365691707,20.4126321758135,294071
"Oceania","        French Polynesia",166.38921733813,16.0059450722206,304032
"Africa","        Gabon",588.701247609255,6494.22923132805,2436566
"Africa","Gambia",58.0987940980034,0.1294404196659,2416664
"Asia","        Georgia",1673.20090427462,666.121198270546,3989175
"Europe","        Germany",128174.512882406,48596.788968721,83783945
"Africa","        Ghana",1989.31127065142,1809.46236681366,34121985
"Europe","        Gibraltar",1270.17482657318,0,32669
"Europe","        Greece",13887.0367345211,4258.50551975975,10423056
"North America","        Greenland",116.369768932612,19.0976623008542,56653
"South America","        Grenada",34.1793871442478,0.095854764677,112519
"South America","        Guadeloupe",223.551207613486,8.2338952717154,395700
"Oceania","        Guam",451.671070418548,1.2005736740697,170534
"South America","        Guatemala",2022.54074431657,767.49958943926,17915567
"Africa","        Guinea",361.573288631281,58.6365845487121,13132792
"Africa","        Guinea-Bissau",47.9560232978897,0.0298132437897,1874000
"South America","        Guyana",274.309739130965,4.2872295648063,786559
"South America","        Haiti",330.273297202778,28.9294242912213,11402533
"Asia","Hawaii",203.048153331976,0,1451043
"South America","        Honduras",1194.61780756316,312.935818170097,9904608
"Asia","        Hong Kong",10404.0990234488,5.3078490844141,7493012
"Europe","        Hungary",13266.9968555242,5587.52839428235,9660350
"Europe","        Iceland",1595.26022576207,1173.17507443151,341250
"Asia","        India",185310.12910333,123537.637713841,1380004385
"Asia","        Indonesia",51729.3074972824,109042.737545118,273523621
"Asia","        Iran",75736.5535452873,132637.210503732,83992953
"Asia","        Iraq",14373.0627870988,60878.7520497246,40222503
"Europe","        Ireland",6251.08763181691,1079.55705828296,4937796
"Asia","        Israel",8851.29406136549,1235.90090260499,8655541
"Europe","        Italy",85796.4495532075,16019.6744978438,60461828
"South America","        Jamaica",1504.03982926483,40.7465697790683,2961161
"Asia","        Japan",242449.139263436,39339.2143685783,126476458
"Asia","        Jordan",2922.61658459155,120.949258962756,10203140
"Asia","        Kazakhstan",26453.4887386608,50811.8984459691,18776707
"Africa","        Kenya",2246.75081063832,542.07318397669,55100586
"Oceania","        Kiribati",7.2627877698838,0.1055850182681,128874
"Europe","        Kosovo",374.028521706247,269.089957325958,1932774
"Asia","        Kuwait",11795.1176807595,60544.1565847789,4270563
